time (days)	flux            flux_noiseless	in_transit (yes/no)
-0.16527778	1.00037160	1.00000000	0
-0.16388889	0.99995876	1.00000000	0
-0.16250000	1.00004053	1.00000000	0
-0.16111111	0.99985464	1.00000000	0
-0.15972222	1.00057728	1.00000000	0
-0.15833333	0.99998926	1.00000000	0
-0.15694444	0.99889979	1.00000000	0
-0.15555556	0.99965396	1.00000000	0
-0.15416667	0.99901560	1.00000000	0
-0.15277778	0.99837428	1.00000000	0
-0.15138889	0.99973494	1.00000000	0
-0.15000000	1.00066678	1.00000000	0
-0.14861111	1.00002356	1.00000000	0
-0.14722222	0.99941373	1.00000000	0
-0.14583333	0.99952965	1.00000000	0
-0.14444444	1.00056531	1.00000000	0
-0.14305556	1.00007881	1.00000000	0
-0.14166667	1.00002400	1.00000000	0
-0.14027778	0.99997327	1.00000000	0
-0.13888889	1.00001920	1.00000000	0
-0.13750000	1.00040270	1.00000000	0
-0.13611111	1.00027628	1.00000000	0
-0.13472222	1.00010785	1.00000000	0
-0.13333333	0.99947857	1.00000000	0
-0.13194444	1.00025555	1.00000000	0
-0.13055556	0.99965788	1.00000000	0
-0.12916667	1.00054692	1.00000000	0
-0.12777778	0.99936447	1.00000000	0
-0.12638889	0.99993119	1.00000000	0
-0.12500000	0.99999632	1.00000000	0
-0.12361111	0.99933768	1.00000000	0
-0.12222222	1.00086099	1.00000000	0
-0.12083333	1.00073020	1.00000000	0
-0.11944444	0.99976821	1.00000000	0
-0.11805556	1.00038586	1.00000000	0
-0.11666667	1.00018934	1.00000000	0
-0.11527778	0.99869322	1.00000000	0
-0.11388889	1.00012520	1.00000000	0
-0.11250000	0.99996933	1.00000000	0
-0.11111111	1.00004161	1.00000000	0
-0.10972222	0.99946156	1.00000000	0
-0.10833333	0.99986533	1.00000000	0
-0.10694444	0.99991087	1.00000000	0
-0.10555556	1.00059405	1.00000000	0
-0.10416667	1.00016721	1.00000000	0
-0.10277778	0.99999722	1.00000000	0
-0.10138889	1.00076448	1.00000000	0
-0.10000000	0.99972238	1.00000000	0
-0.09861111	0.99980528	1.00000000	0
-0.09722222	0.99909162	1.00000000	0
-0.09583333	1.00078455	1.00000000	0
-0.09444444	1.00048217	1.00000000	0
-0.09305556	1.00045842	1.00000000	0
-0.09166667	1.00033445	1.00000000	0
-0.09027778	1.00005507	1.00000000	0
-0.08888889	1.00010774	1.00000000	0
-0.08750000	0.99987400	1.00000000	0
-0.08611111	0.99989820	1.00000000	0
-0.08472222	1.00002715	1.00000000	0
-0.08333333	1.00075591	1.00000000	0
-0.08194444	1.00027784	1.00000000	0
-0.08055556	0.99997077	1.00000000	0
-0.07916667	0.99971030	1.00000000	0
-0.07777778	0.99968250	1.00000000	0
-0.07638889	1.00080135	1.00000000	0
-0.07500000	1.00025334	1.00000000	0
-0.07361111	1.00003378	1.00000000	0
-0.07222222	0.99982691	1.00000000	0
-0.07083333	0.99944547	1.00000000	0
-0.06944444	0.99996657	1.00000000	0
-0.06805556	1.00043683	1.00000000	0
-0.06666667	0.99980373	1.00000000	0
-0.06527778	0.99988638	1.00000000	0
-0.06388889	0.99988948	1.00000000	0
-0.06250000	1.00005480	1.00000000	0
-0.06111111	0.99920349	1.00000000	0
-0.05972222	0.98978403	0.98990173	1
-0.05833333	0.98947453	0.98990173	1
-0.05694444	0.99034402	0.98990173	1
-0.05555556	0.98951643	0.98990173	1
-0.05416667	0.99019025	0.98990173	1
-0.05277778	0.99066395	0.98990173	1
-0.05138889	0.98974493	0.98990173	1
-0.05000000	0.98960094	0.98990173	1
-0.04861111	0.98999745	0.98990173	1
-0.04722222	0.98990071	0.98990173	1
-0.04583333	0.98940492	0.98990173	1
-0.04444444	0.99013219	0.98990173	1
-0.04305556	0.99090949	0.98990173	1
-0.04166667	0.98977267	0.98990173	1
-0.04027778	0.98980029	0.98990173	1
-0.03888889	0.98937926	0.98990173	1
-0.03750000	0.99006127	0.98990173	1
-0.03611111	0.98927824	0.98990173	1
-0.03472222	0.98934826	0.98990173	1
-0.03333333	0.99054156	0.98990173	1
-0.03194444	0.98944900	0.98990173	1
-0.03055556	0.99044241	0.98990173	1
-0.02916667	0.99066391	0.98990173	1
-0.02777778	0.99003139	0.98990173	1
-0.02638889	0.99017842	0.98990173	1
-0.02500000	0.99087785	0.98990173	1
-0.02361111	0.98980336	0.98990173	1
-0.02222222	0.98960523	0.98990173	1
-0.02083333	0.98922511	0.98990173	1
-0.01944444	0.98992258	0.98990173	1
-0.01805556	0.99064130	0.98990173	1
-0.01666667	0.99038153	0.98990173	1
-0.01527778	0.98943068	0.98990173	1
-0.01388889	0.98947404	0.98990173	1
-0.01250000	0.98964964	0.98990173	1
-0.01111111	0.99004786	0.98990173	1
-0.00972222	0.98979907	0.98990173	1
-0.00833333	0.99000896	0.98990173	1
-0.00694444	0.99005010	0.98990173	1
-0.00555556	0.98975234	0.98990173	1
-0.00416667	0.98988164	0.98990173	1
-0.00277778	0.99000503	0.98990173	1
-0.00138889	0.98985974	0.98990173	1
-0.00000000	0.99015349	0.98990173	1
0.00138889	0.99083717	0.98990173	1
0.00277778	0.99019772	0.98990173	1
0.00416667	0.98992963	0.98990173	1
0.00555556	0.98905867	0.98990173	1
0.00694444	0.99009571	0.98990173	1
0.00833333	0.98892839	0.98990173	1
0.00972222	0.98919721	0.98990173	1
0.01111111	0.99032905	0.98990173	1
0.01250000	0.99025485	0.98990173	1
0.01388889	0.98982676	0.98990173	1
0.01527778	0.98904672	0.98990173	1
0.01666667	0.98971605	0.98990173	1
0.01805556	0.98956236	0.98990173	1
0.01944444	0.99022015	0.98990173	1
0.02083333	0.99103059	0.98990173	1
0.02222222	0.99001019	0.98990173	1
0.02361111	0.98951207	0.98990173	1
0.02500000	0.98931645	0.98990173	1
0.02638889	0.98987368	0.98990173	1
0.02777778	0.98981333	0.98990173	1
0.02916667	0.98932597	0.98990173	1
0.03055556	0.98995991	0.98990173	1
0.03194444	0.98932627	0.98990173	1
0.03333333	0.99045778	0.98990173	1
0.03472222	0.99043305	0.98990173	1
0.03611111	0.99044410	0.98990173	1
0.03750000	0.98966470	0.98990173	1
0.03888889	0.99015899	0.98990173	1
0.04027778	0.98983569	0.98990173	1
0.04166667	0.98970732	0.98990173	1
0.04305556	0.98973216	0.98990173	1
0.04444444	0.98925187	0.98990173	1
0.04583333	0.98917980	0.98990173	1
0.04722222	0.99029889	0.98990173	1
0.04861111	0.98980611	0.98990173	1
0.05000000	0.99000994	0.98990173	1
0.05138889	0.99040258	0.98990173	1
0.05277778	0.98903516	0.98990173	1
0.05416667	0.98950966	0.98990173	1
0.05555556	0.98998940	0.98990173	1
0.05694444	0.99009778	0.98990173	1
0.05833333	0.98971319	0.98990173	1
0.05972222	0.99041632	0.98990173	1
0.06111111	1.00010520	1.00000000	0
0.06250000	0.99939331	1.00000000	0
0.06388889	0.99953462	1.00000000	0
0.06527778	1.00040274	1.00000000	0
0.06666667	1.00023192	1.00000000	0
0.06805556	0.99905047	1.00000000	0
0.06944444	1.00067386	1.00000000	0
0.07083333	1.00029901	1.00000000	0
0.07222222	1.00067167	1.00000000	0
0.07361111	0.99980815	1.00000000	0
0.07500000	0.99985215	1.00000000	0
0.07638889	0.99943677	1.00000000	0
0.07777778	1.00126846	1.00000000	0
0.07916667	0.99991227	1.00000000	0
0.08055556	1.00079377	1.00000000	0
0.08194444	0.99967635	1.00000000	0
0.08333333	1.00008192	1.00000000	0
0.08472222	0.99916432	1.00000000	0
0.08611111	0.99980857	1.00000000	0
0.08750000	1.00049188	1.00000000	0
0.08888889	0.99937413	1.00000000	0
0.09027778	1.00053611	1.00000000	0
0.09166667	1.00016862	1.00000000	0
0.09305556	0.99947802	1.00000000	0
0.09444444	0.99974920	1.00000000	0
0.09583333	0.99977047	1.00000000	0
0.09722222	0.99997524	1.00000000	0
0.09861111	0.99973193	1.00000000	0
0.10000000	0.99958636	1.00000000	0
0.10138889	0.99984771	1.00000000	0
0.10277778	0.99948656	1.00000000	0
0.10416667	0.99935524	1.00000000	0
0.10555556	0.99997591	1.00000000	0
0.10694444	1.00044144	1.00000000	0
0.10833333	0.99923531	1.00000000	0
0.10972222	1.00000175	1.00000000	0
0.11111111	0.99967502	1.00000000	0
0.11250000	0.99951143	1.00000000	0
0.11388889	1.00042672	1.00000000	0
0.11527778	0.99974092	1.00000000	0
0.11666667	1.00074915	1.00000000	0
0.11805556	0.99961008	1.00000000	0
0.11944444	1.00019325	1.00000000	0
0.12083333	0.99988636	1.00000000	0
0.12222222	0.99962299	1.00000000	0
0.12361111	1.00029384	1.00000000	0
0.12500000	0.99992251	1.00000000	0
0.12638889	1.00030161	1.00000000	0
0.12777778	0.99997635	1.00000000	0
0.12916667	0.99945709	1.00000000	0
0.13055556	0.99994897	1.00000000	0
0.13194444	1.00002598	1.00000000	0
0.13333333	1.00047923	1.00000000	0
0.13472222	0.99954687	1.00000000	0
0.13611111	0.99998034	1.00000000	0
0.13750000	0.99913906	1.00000000	0
0.13888889	1.00032575	1.00000000	0
0.14027778	0.99945926	1.00000000	0
0.14166667	0.99909682	1.00000000	0
0.14305556	0.99997039	1.00000000	0
0.14444444	1.00055284	1.00000000	0
0.14583333	0.99923778	1.00000000	0
0.14722222	0.99945598	1.00000000	0
0.14861111	0.99962836	1.00000000	0
0.15000000	0.99943525	1.00000000	0
0.15138889	1.00018971	1.00000000	0
0.15277778	0.99959632	1.00000000	0
0.15416667	0.99963924	1.00000000	0
0.15555556	1.00029165	1.00000000	0
0.15694444	0.99962224	1.00000000	0
0.15833333	1.00021639	1.00000000	0
0.15972222	0.99951431	1.00000000	0
0.16111111	0.99939393	1.00000000	0
0.16250000	0.99908228	1.00000000	0
0.16388889	1.00093060	1.00000000	0
0.16527778	0.99983987	1.00000000	0
0.16666667	1.00012197	1.00000000	0
0.16805556	0.99998448	1.00000000	0
0.16944444	1.00007998	1.00000000	0
0.17083333	1.00002484	1.00000000	0
0.17222222	1.00095411	1.00000000	0
0.17361111	0.99948054	1.00000000	0
0.17500000	0.99922127	1.00000000	0
0.17638889	0.99949402	1.00000000	0
0.17777778	0.99933265	1.00000000	0
0.17916667	1.00037348	1.00000000	0
0.18055556	1.00041019	1.00000000	0
0.18194444	0.99951934	1.00000000	0
0.18333333	0.99930478	1.00000000	0
0.18472222	0.99982260	1.00000000	0
0.18611111	1.00069556	1.00000000	0
0.18750000	0.99859022	1.00000000	0
0.18888889	1.00026331	1.00000000	0
0.19027778	0.99946212	1.00000000	0
0.19166667	1.00052018	1.00000000	0
0.19305556	0.99946104	1.00000000	0
0.19444444	0.99985729	1.00000000	0
0.19583333	0.99924686	1.00000000	0
0.19722222	0.99951137	1.00000000	0
0.19861111	1.00069292	1.00000000	0
0.20000000	1.00041029	1.00000000	0
0.20138889	0.99979917	1.00000000	0
0.20277778	0.99956491	1.00000000	0
0.20416667	0.99905310	1.00000000	0
0.20555556	0.99980317	1.00000000	0
0.20694444	0.99998455	1.00000000	0
0.20833333	0.99995797	1.00000000	0
0.20972222	0.99995310	1.00000000	0
0.21111111	0.99943910	1.00000000	0
0.21250000	0.99996686	1.00000000	0
0.21388889	0.99998066	1.00000000	0
0.21527778	1.00064528	1.00000000	0
0.21666667	1.00093337	1.00000000	0
0.21805556	0.99993151	1.00000000	0
0.21944444	0.99961685	1.00000000	0
0.22083333	0.99996751	1.00000000	0
0.22222222	0.99969619	1.00000000	0
0.22361111	0.99962878	1.00000000	0
0.22500000	0.99997067	1.00000000	0
0.22638889	0.99947835	1.00000000	0
0.22777778	1.00030305	1.00000000	0
0.22916667	0.99994804	1.00000000	0
0.23055556	1.00012500	1.00000000	0
0.23194444	0.99990853	1.00000000	0
0.23333333	0.99963637	1.00000000	0
0.23472222	0.99952602	1.00000000	0
0.23611111	0.99988136	1.00000000	0
0.23750000	0.99972562	1.00000000	0
0.23888889	1.00011695	1.00000000	0
0.24027778	0.99999778	1.00000000	0
0.24166667	0.99931885	1.00000000	0
0.24305556	1.00003356	1.00000000	0
0.24444444	0.99932857	1.00000000	0
0.24583333	0.99969176	1.00000000	0
0.24722222	0.99985282	1.00000000	0
0.24861111	0.99896236	1.00000000	0
0.25000000	1.00004575	1.00000000	0
0.25138889	1.00007549	1.00000000	0
0.25277778	0.99992099	1.00000000	0
0.25416667	0.99978784	1.00000000	0
0.25555556	0.99981320	1.00000000	0
0.25694444	0.99951173	1.00000000	0
0.25833333	0.99986515	1.00000000	0
0.25972222	0.99972369	1.00000000	0
0.26111111	1.00004584	1.00000000	0
0.26250000	0.99939793	1.00000000	0
0.26388889	1.00011779	1.00000000	0
0.26527778	1.00007161	1.00000000	0
0.26666667	0.99992922	1.00000000	0
0.26805556	0.99978040	1.00000000	0
0.26944444	1.00027617	1.00000000	0
0.27083333	0.99916770	1.00000000	0
0.27222222	1.00023023	1.00000000	0
0.27361111	1.00012152	1.00000000	0
0.27500000	1.00014169	1.00000000	0
0.27638889	1.00019166	1.00000000	0
0.27777778	0.99967318	1.00000000	0
0.27916667	0.99987027	1.00000000	0
0.28055556	1.00031853	1.00000000	0
0.28194444	1.00021532	1.00000000	0
0.28333333	1.00010336	1.00000000	0
0.28472222	0.99924284	1.00000000	0
0.28611111	1.00026894	1.00000000	0
0.28750000	1.00058474	1.00000000	0
0.28888889	1.00050484	1.00000000	0
0.29027778	1.00011694	1.00000000	0
0.29166667	0.99922116	1.00000000	0
0.29305556	1.00047127	1.00000000	0
0.29444444	0.99992637	1.00000000	0
0.29583333	0.99873374	1.00000000	0
0.29722222	1.00018860	1.00000000	0
0.29861111	0.99925391	1.00000000	0
0.30000000	0.99935178	1.00000000	0
0.30138889	0.99968252	1.00000000	0
0.30277778	1.00063630	1.00000000	0
0.30416667	0.99981458	1.00000000	0
0.30555556	1.00013550	1.00000000	0
0.30694444	1.00087398	1.00000000	0
0.30833333	1.00079701	1.00000000	0
0.30972222	0.99994832	1.00000000	0
0.31111111	0.99987924	1.00000000	0
0.31250000	0.99936956	1.00000000	0
0.31388889	0.99965277	1.00000000	0
0.31527778	1.00021268	1.00000000	0
0.31666667	1.00019787	1.00000000	0
0.31805556	1.00005512	1.00000000	0
0.31944444	1.00049740	1.00000000	0
0.32083333	0.99961382	1.00000000	0
0.32222222	0.99997196	1.00000000	0
0.32361111	1.00036562	1.00000000	0
0.32500000	1.00029207	1.00000000	0
0.32638889	1.00053547	1.00000000	0
0.32777778	1.00019851	1.00000000	0
0.32916667	0.99984530	1.00000000	0
0.33055556	1.00018110	1.00000000	0
0.33194444	0.99949870	1.00000000	0
0.33333333	0.99918027	1.00000000	0
0.33472222	1.00029034	1.00000000	0
0.33611111	0.99997243	1.00000000	0
0.33750000	1.00015420	1.00000000	0
0.33888889	0.99915116	1.00000000	0
0.34027778	0.99981744	1.00000000	0
0.34166667	0.99970007	1.00000000	0
0.34305556	0.99956789	1.00000000	0
0.34444444	0.99887249	1.00000000	0
0.34583333	0.99983256	1.00000000	0
0.34722222	1.00044865	1.00000000	0
0.34861111	1.00019050	1.00000000	0
0.35000000	0.99969953	1.00000000	0
0.35138889	0.99999256	1.00000000	0
0.35277778	1.00037840	1.00000000	0
0.35416667	0.99861979	1.00000000	0
0.35555556	0.99993773	1.00000000	0
0.35694444	1.00027160	1.00000000	0
0.35833333	1.00034106	1.00000000	0
0.35972222	1.00085037	1.00000000	0
0.36111111	1.00056752	1.00000000	0
0.36250000	1.00015628	1.00000000	0
0.36388889	1.00015099	1.00000000	0
0.36527778	1.00039347	1.00000000	0
0.36666667	0.99973034	1.00000000	0
0.36805556	0.99997991	1.00000000	0
0.36944444	1.00045312	1.00000000	0
0.37083333	1.00097872	1.00000000	0
0.37222222	0.99992037	1.00000000	0
0.37361111	0.99997580	1.00000000	0
0.37500000	1.00009924	1.00000000	0
0.37638889	1.00067160	1.00000000	0
0.37777778	0.99998484	1.00000000	0
0.37916667	1.00073468	1.00000000	0
0.38055556	0.99951667	1.00000000	0
0.38194444	0.99990698	1.00000000	0
0.38333333	0.99990092	1.00000000	0
0.38472222	1.00039325	1.00000000	0
0.38611111	1.00052263	1.00000000	0
0.38750000	0.99924528	1.00000000	0
0.38888889	0.99954244	1.00000000	0
0.39027778	1.00016843	1.00000000	0
0.39166667	0.99967065	1.00000000	0
0.39305556	0.99923879	1.00000000	0
0.39444444	1.00051924	1.00000000	0
0.39583333	1.00024699	1.00000000	0
0.39722222	1.00024659	1.00000000	0
0.39861111	0.99976228	1.00000000	0
0.40000000	1.00051447	1.00000000	0
0.40138889	0.99988002	1.00000000	0
0.40277778	1.00054822	1.00000000	0
0.40416667	0.99954417	1.00000000	0
0.40555556	0.99957293	1.00000000	0
0.40694444	1.00010233	1.00000000	0
0.40833333	0.99964883	1.00000000	0
0.40972222	1.00033773	1.00000000	0
0.41111111	1.00013004	1.00000000	0
0.41250000	0.99953851	1.00000000	0
0.41388889	1.00003643	1.00000000	0
0.41527778	0.99982436	1.00000000	0
0.41666667	1.00045792	1.00000000	0
0.41805556	0.99968372	1.00000000	0
0.41944444	0.99978041	1.00000000	0
0.42083333	1.00060562	1.00000000	0
0.42222222	1.00111930	1.00000000	0
0.42361111	1.00099950	1.00000000	0
0.42500000	1.00003161	1.00000000	0
0.42638889	1.00010943	1.00000000	0
0.42777778	1.00076673	1.00000000	0
0.42916667	0.99993778	1.00000000	0
0.43055556	0.99951183	1.00000000	0
0.43194444	1.00005844	1.00000000	0
0.43333333	1.00022576	1.00000000	0
0.43472222	0.99958543	1.00000000	0
0.43611111	0.99917688	1.00000000	0
0.43750000	0.99928164	1.00000000	0
0.43888889	1.00033271	1.00000000	0
0.44027778	0.99962081	1.00000000	0
0.44166667	0.99992933	1.00000000	0
